id,год,месяц,день,погодное условие,направление ветра,скорость ветра (м/с),давление (мм рт. ст.),влажность (%),видимость (мм),луна,осадки (мм),температура днем,температура ночью,url
73,2017,8,25,ясно,северо-восточный,3,774,80,10.0,растущая,0.2,7,9,https://pogoda1.ru/samburg/25-08-2017/
74,2017,8,26,пасмурно,юго-восточный,5,772,64,10.0,растущая,0.0,5,9,https://pogoda1.ru/samburg/26-08-2017/
75,2017,8,27,малооблачно,юго-западный,4,762,98,10.0,растущая,5.9,13,18,https://pogoda1.ru/samburg/27-08-2017/
76,2017,8,28,пасмурно,южный,2,761,97,10.0,растущая,0.0,9,16,https://pogoda1.ru/samburg/28-08-2017/
77,2017,8,29,ясно,южный,5,753,100,10.0,растущая,0.0,15,15,https://pogoda1.ru/samburg/29-08-2017/
78,2017,8,30,дождь,юго-западный,9,755,100,10.0,растущая,0.2,10,11,https://pogoda1.ru/samburg/30-08-2017/
79,2017,8,31,малооблачно,западный,5,763,93,10.0,растущая,0.0,7,10,https://pogoda1.ru/samburg/31-08-2017/
80,2017,9,1,малооблачно,западный,6,758,90,10.0,растущая,0.3,9,10,https://pogoda1.ru/samburg/01-09-2017/
81,2017,9,2,пасмурно,западный,5,761,96,10.0,растущая,0.1,9,9,https://pogoda1.ru/samburg/02-09-2017/
82,2017,9,3,пасмурно,юго-западный,10,748,97,10.0,растущая,5.1,11,13,https://pogoda1.ru/samburg/03-09-2017/
83,2017,9,4,пасмурно,северо-западный,9,763,88,10.0,растущая,0.3,6,8,https://pogoda1.ru/samburg/04-09-2017/
84,2017,9,5,пасмурно,северо-западный,7,770,78,10.0,растущая,0.0,6,5,https://pogoda1.ru/samburg/05-09-2017/
85,2017,9,6,дождь,западный,5,762,100,10.0,полнолуние,1.3,7,7,https://pogoda1.ru/samburg/06-09-2017/
86,2017,9,7,пасмурно,северо-западный,7,761,97,10.0,убывающая,0.0,4,5,https://pogoda1.ru/samburg/07-09-2017/
87,2017,9,8,дождь,северо-западный,7,762,100,10.0,убывающая,0.2,4,3,https://pogoda1.ru/samburg/08-09-2017/
88,2017,9,9,пасмурно,северо-западный,5,765,89,10.0,убывающая,0.0,4,2,https://pogoda1.ru/samburg/09-09-2017/
89,2017,9,10,пасмурно,северо-западный,2,765,93,10.0,убывающая,0.0,0,0,https://pogoda1.ru/samburg/10-09-2017/
90,2017,9,11,пасмурно,южный,2,765,88,10.0,убывающая,0.0,2,1,https://pogoda1.ru/samburg/11-09-2017/
91,2017,9,12,ясно,северо-западный,4,763,80,10.0,убывающая,0.0,-1,-1,https://pogoda1.ru/samburg/12-09-2017/
92,2017,9,13,пасмурно,юго-западный,5,765,83,10.0,убывающая,0.2,1,1,https://pogoda1.ru/samburg/13-09-2017/
93,2017,9,14,пасмурно,западный,3,764,95,10.0,убывающая,0.3,3,3,https://pogoda1.ru/samburg/14-09-2017/
94,2017,9,15,малооблачно,северо-восточный,2,762,90,10.0,убывающая,0.0,1,2,https://pogoda1.ru/samburg/15-09-2017/
95,2017,9,16,малооблачно,северо-восточный,3,767,85,10.0,убывающая,0.0,-1,1,https://pogoda1.ru/samburg/16-09-2017/
96,2017,9,17,дождь,юго-восточный,8,761,100,10.0,убывающая,0.0,-2,0,https://pogoda1.ru/samburg/17-09-2017/
97,2017,9,18,пасмурно,восточный,3,756,100,10.0,убывающая,0.7,3,4,https://pogoda1.ru/samburg/18-09-2017/
98,2017,9,19,пасмурно,северо-восточный,5,765,89,10.0,убывающая,0.0,3,3,https://pogoda1.ru/samburg/19-09-2017/
99,2017,9,20,пасмурно,северный,3,769,86,10.0,новолуние,0.0,4,2,https://pogoda1.ru/samburg/20-09-2017/
100,2017,9,21,пасмурно,северо-западный,5,769,81,10.0,растущая,0.0,1,1,https://pogoda1.ru/samburg/21-09-2017/
101,2017,9,22,пасмурно,северный,8,772,70,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/22-09-2017/
102,2017,9,23,пасмурно,северный,6,777,68,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/23-09-2017/
103,2017,9,24,пасмурно,юго-западный,5,778,76,10.0,растущая,0.0,-5,0,https://pogoda1.ru/samburg/24-09-2017/
104,2017,9,25,пасмурно,юго-западный,3,773,96,10.0,растущая,0.0,-1,0,https://pogoda1.ru/samburg/25-09-2017/
105,2017,9,26,пасмурно,северо-западный,7,776,100,10.0,растущая,1.3,3,3,https://pogoda1.ru/samburg/26-09-2017/
106,2017,9,27,пасмурно,северо-западный,4,780,82,10.0,растущая,0.0,-4,-6,https://pogoda1.ru/samburg/27-09-2017/
107,2017,9,28,пасмурно,северо-западный,4,768,97,10.0,растущая,1.0,2,3,https://pogoda1.ru/samburg/28-09-2017/
108,2017,9,29,облачно,северный,5,768,88,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/29-09-2017/
109,2017,9,30,пасмурно,северный,5,772,88,10.0,растущая,0.0,-4,-2,https://pogoda1.ru/samburg/30-09-2017/
110,2017,10,1,малооблачно,северный,2,775,86,10.0,растущая,0.0,-3,-2,https://pogoda1.ru/samburg/01-10-2017/
111,2017,10,2,пасмурно,юго-западный,4,767,89,10.0,растущая,0.0,-5,-3,https://pogoda1.ru/samburg/02-10-2017/
112,2017,10,3,пасмурно,северный,6,763,84,10.0,растущая,0.0,-1,-2,https://pogoda1.ru/samburg/03-10-2017/
113,2017,10,4,пасмурно,северо-западный,2,769,82,10.0,растущая,0.0,-3,-3,https://pogoda1.ru/samburg/04-10-2017/
114,2017,10,5,пасмурно,юго-западный,2,772,86,10.0,растущая,0.0,-7,-5,https://pogoda1.ru/samburg/05-10-2017/
115,2017,10,6,пасмурно,южный,4,777,86,10.0,убывающая,0.0,-11,-6,https://pogoda1.ru/samburg/06-10-2017/
116,2017,10,7,пасмурно,южный,7,778,87,10.0,убывающая,0.0,-2,-2,https://pogoda1.ru/samburg/07-10-2017/
117,2017,10,8,дождь,южный,11,771,99,10.0,убывающая,0.2,1,2,https://pogoda1.ru/samburg/08-10-2017/
118,2017,10,9,дождь,южный,7,767,97,10.0,убывающая,1.1,3,3,https://pogoda1.ru/samburg/09-10-2017/
119,2017,10,10,дождь,юго-западный,6,769,100,10.0,убывающая,0.3,3,3,https://pogoda1.ru/samburg/10-10-2017/
120,2017,10,11,пасмурно,северо-западный,8,776,91,10.0,убывающая,0.0,0,0,https://pogoda1.ru/samburg/11-10-2017/
121,2017,10,12,малооблачно,юго-западный,5,779,93,10.0,убывающая,0.0,-1,-3,https://pogoda1.ru/samburg/12-10-2017/
122,2017,10,13,пасмурно,южный,2,775,91,10.0,убывающая,0.0,-3,-1,https://pogoda1.ru/samburg/13-10-2017/
123,2017,10,14,дождь,южный,5,769,98,10.0,убывающая,2.9,0,1,https://pogoda1.ru/samburg/14-10-2017/
124,2017,10,15,пасмурно,западный,4,764,100,10.0,убывающая,0.0,-2,-1,https://pogoda1.ru/samburg/15-10-2017/
125,2017,10,16,пасмурно,северо-западный,5,770,82,10.0,убывающая,0.0,-8,-4,https://pogoda1.ru/samburg/16-10-2017/
126,2017,10,17,пасмурно,южный,6,773,82,10.0,убывающая,0.0,-4,-5,https://pogoda1.ru/samburg/17-10-2017/
127,2017,10,18,пасмурно,южный,7,765,88,10.0,убывающая,0.0,0,0,https://pogoda1.ru/samburg/18-10-2017/
128,2017,10,19,пасмурно,юго-восточный,8,760,96,10.0,убывающая,0.3,0,0,https://pogoda1.ru/samburg/19-10-2017/
129,2017,10,20,дождь,юго-восточный,6,757,98,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/20-10-2017/
130,2017,10,21,дождь,восточный,5,750,100,10.0,растущая,0.7,1,2,https://pogoda1.ru/samburg/21-10-2017/
131,2017,10,22,пасмурно,юго-восточный,3,753,99,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/22-10-2017/
132,2017,10,23,пасмурно,юго-западный,4,760,95,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/23-10-2017/
133,2017,10,24,пасмурно,западный,2,768,98,10.0,растущая,0.0,-3,-3,https://pogoda1.ru/samburg/24-10-2017/
134,2017,10,25,пасмурно,юго-западный,5,765,95,10.0,растущая,0.0,-4,-4,https://pogoda1.ru/samburg/25-10-2017/
135,2017,10,26,пасмурно,западный,7,765,89,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/26-10-2017/
136,2017,10,27,пасмурно,юго-западный,5,767,90,10.0,растущая,0.0,-4,-4,https://pogoda1.ru/samburg/27-10-2017/
137,2017,10,28,пасмурно,южный,5,765,88,10.0,растущая,0.0,-3,-3,https://pogoda1.ru/samburg/28-10-2017/
138,2017,10,29,пасмурно,северный,4,757,90,10.0,растущая,0.0,-5,-5,https://pogoda1.ru/samburg/29-10-2017/
139,2017,10,30,ясно,западный,3,768,91,10.0,растущая,0.0,-7,-7,https://pogoda1.ru/samburg/30-10-2017/
140,2017,10,31,пасмурно,юго-восточный,4,769,84,10.0,растущая,0.0,-8,-8,https://pogoda1.ru/samburg/31-10-2017/
141,2017,11,1,пасмурно,юго-восточный,7,764,95,10.0,растущая,0.0,-4,-3,https://pogoda1.ru/samburg/01-11-2017/
142,2017,11,2,пасмурно,южный,6,759,93,10.0,растущая,0.0,1,1,https://pogoda1.ru/samburg/02-11-2017/
143,2017,11,3,пасмурно,южный,5,755,93,10.0,растущая,0.0,0,0,https://pogoda1.ru/samburg/03-11-2017/
144,2017,11,4,пасмурно,западный,5,756,94,10.0,полнолуние,0.0,-2,-2,https://pogoda1.ru/samburg/04-11-2017/
145,2017,11,5,пасмурно,южный,5,759,99,10.0,убывающая,0.0,-5,-4,https://pogoda1.ru/samburg/05-11-2017/
146,2017,11,6,пасмурно,юго-западный,6,757,95,10.0,убывающая,0.0,-2,0,https://pogoda1.ru/samburg/06-11-2017/
147,2017,11,7,пасмурно,западный,3,764,92,10.0,убывающая,0.0,-1,-1,https://pogoda1.ru/samburg/07-11-2017/
148,2017,11,8,пасмурно,юго-восточный,5,760,89,10.0,убывающая,0.0,-4,-4,https://pogoda1.ru/samburg/08-11-2017/
149,2017,11,9,пасмурно,северный,7,756,93,10.0,убывающая,0.0,-3,-3,https://pogoda1.ru/samburg/09-11-2017/
150,2017,11,10,малооблачно,северо-западный,6,764,75,10.0,убывающая,0.0,-17,-19,https://pogoda1.ru/samburg/10-11-2017/
151,2017,11,11,пасмурно,северо-западный,5,771,85,10.0,убывающая,0.0,-20,-17,https://pogoda1.ru/samburg/11-11-2017/
152,2017,11,12,пасмурно,западный,2,776,84,10.0,убывающая,0.0,-16,-16,https://pogoda1.ru/samburg/12-11-2017/
153,2017,11,13,пасмурно,северный,2,779,78,10.0,убывающая,0.0,-28,-26,https://pogoda1.ru/samburg/13-11-2017/
